data,produto,categoria,preco_unitario,mes,dia_semana,quantidade_vendida
2023-01-03,Queijo Mussarela,Laticínios,35.7,1,Tuesday,68
2023-01-03,Cerveja Lata,Bebidas,2.97,1,Tuesday,61
2023-01-03,Iogurte Natural,Laticínios,2.66,1,Tuesday,69
2023-01-03,Manteiga 200g,Laticínios,6.17,1,Tuesday,53
2023-01-03,Tomate,Hortifruti,4.39,1,Tuesday,77
2023-01-03,Alface,Hortifruti,1.9,1,Tuesday,33
2023-01-03,Cenoura,Hortifruti,3.18,1,Tuesday,79
2023-01-03,Detergente,Limpeza,2.21,1,Tuesday,104
2023-01-03,Desinfetante,Limpeza,4.7,1,Tuesday,14
2023-01-03,Shampoo,Higiene,10.64,1,Tuesday,131
2023-01-03,Creme Dental,Higiene,3.09,1,Tuesday,50
2023-01-03,Papel Higiênico,Higiene,9.91,1,Tuesday,43
2023-01-03,Óleo de Soja,Mercearia,6.87,1,Tuesday,49
2023-01-03,Macarrão Espaguete,Mercearia,4.25,1,Tuesday,80
2023-01-03,Molho de Tomate,Mercearia,3.18,1,Tuesday,26
2023-01-03,Café 500g,Mercearia,12.33,1,Tuesday,98
2023-01-03,Biscoito Recheado,Mercearia,2.5,1,Tuesday,47
2023-01-03,"Água Mineral 1,5L",Bebidas,2.02,1,Tuesday,168
2023-01-03,Suco de Laranja,Bebidas,4.78,1,Tuesday,190
2023-01-03,Vinho Tinto,Bebidas,30.73,1,Tuesday,79
2023-01-03,Frango Congelado,Carnes,16.42,1,Tuesday,77
2023-01-03,Carne Moída,Carnes,26.43,1,Tuesday,25
2023-01-04,Leite Integral,Laticínios,4.31,1,Wednesday,53
2023-01-04,Pão Francês,Padaria,0.53,1,Wednesday,111
2023-01-04,Banana Nanica,Hortifruti,3.06,1,Wednesday,110
2023-01-04,Coca-Cola 2L,Bebidas,7.3,1,Wednesday,51
2023-01-04,Arroz 5kg,Mercearia,19.94,1,Wednesday,78
2023-01-04,Feijão Carioca,Mercearia,8.68,1,Wednesday,77
2023-01-04,Sabonete,Higiene,1.96,1,Wednesday,18
2023-01-04,Fralda Infantil,Infantil,41.62,1,Wednesday,101
2023-01-04,Queijo Mussarela,Laticínios,36.53,1,Wednesday,149
2023-01-04,Cerveja Lata,Bebidas,2.88,1,Wednesday,124
2023-01-04,Iogurte Natural,Laticínios,2.51,1,Wednesday,135
2023-01-04,Manteiga 200g,Laticínios,6.01,1,Wednesday,36
2023-01-04,Tomate,Hortifruti,3.85,1,Wednesday,36
2023-01-04,Alface,Hortifruti,2.01,1,Wednesday,131
2023-01-04,Cenoura,Hortifruti,3.1,1,Wednesday,155
2023-01-04,Detergente,Limpeza,2.36,1,Wednesday,48
2023-01-04,Desinfetante,Limpeza,4.6,1,Wednesday,119
2023-01-04,Shampoo,Higiene,10.31,1,Wednesday,38
2023-01-04,Creme Dental,Higiene,3.3,1,Wednesday,119
2023-01-04,Papel Higiênico,Higiene,10.28,1,Wednesday,48
2023-01-04,Óleo de Soja,Mercearia,7.07,1,Wednesday,59
2023-01-04,Macarrão Espaguete,Mercearia,4.19,1,Wednesday,18
2023-01-04,Molho de Tomate,Mercearia,3.18,1,Wednesday,50
2023-01-04,Café 500g,Mercearia,12.46,1,Wednesday,112
2023-01-04,Biscoito Recheado,Mercearia,2.64,1,Wednesday,58
2023-01-04,"Água Mineral 1,5L",Bebidas,2.09,1,Wednesday,120
2023-01-04,Suco de Laranja,Bebidas,4.99,1,Wednesday,98
2023-01-04,Vinho Tinto,Bebidas,29.2,1,Wednesday,199
2023-01-04,Frango Congelado,Carnes,16.43,1,Wednesday,39
2023-01-04,Carne Moída,Carnes,26.73,1,Wednesday,53
2023-01-05,Leite Integral,Laticínios,4.51,1,Thursday,16
2023-01-05,Pão Francês,Padaria,0.52,1,Thursday,24
2023-01-05,Banana Nanica,Hortifruti,3.27,1,Thursday,75
2023-01-05,Coca-Cola 2L,Bebidas,7.32,1,Thursday,164
2023-01-05,Arroz 5kg,Mercearia,20.16,1,Thursday,60
2023-01-05,Feijão Carioca,Mercearia,8.73,1,Thursday,59
2023-01-05,Sabonete,Higiene,1.93,1,Thursday,62
2023-01-05,Fralda Infantil,Infantil,38.81,1,Thursday,32
2023-01-05,Queijo Mussarela,Laticínios,33.7,1,Thursday,136
2023-01-05,Cerveja Lata,Bebidas,3.13,1,Thursday,86
2023-01-05,Iogurte Natural,Laticínios,2.48,1,Thursday,64
2023-01-05,Manteiga 200g,Laticínios,6.31,1,Thursday,54
2023-01-05,Tomate,Hortifruti,4.38,1,Thursday,52
2023-01-05,Alface,Hortifruti,1.94,1,Thursday,169
2023-01-05,Cenoura,Hortifruti,3.01,1,Thursday,136
2023-01-05,Detergente,Limpeza,2.34,1,Thursday,81
2023-01-05,Desinfetante,Limpeza,4.76,1,Thursday,136
2023-01-05,Shampoo,Higiene,10.87,1,Thursday,23
2023-01-05,Creme Dental,Higiene,3.21,1,Thursday,20
2023-01-05,Papel Higiênico,Higiene,10.17,1,Thursday,184
2023-01-05,Óleo de Soja,Mercearia,6.67,1,Thursday,118
2023-01-05,Macarrão Espaguete,Mercearia,4.26,1,Thursday,75
2023-01-05,Molho de Tomate,Mercearia,3.05,1,Thursday,146
2023-01-05,Café 500g,Mercearia,11.91,1,Thursday,84
2023-01-05,Biscoito Recheado,Mercearia,2.6,1,Thursday,30
2023-01-05,"Água Mineral 1,5L",Bebidas,1.97,1,Thursday,94
2023-01-05,Suco de Laranja,Bebidas,4.88,1,Thursday,153
2023-01-05,Vinho Tinto,Bebidas,32.29,1,Thursday,82
2023-01-05,Frango Congelado,Carnes,16.0,1,Thursday,44
2023-01-05,Carne Moída,Carnes,24.55,1,Thursday,24
2023-01-06,Leite Integral,Laticínios,4.46,1,Friday,164
2023-01-06,Pão Francês,Padaria,0.53,1,Friday,65
2023-01-06,Banana Nanica,Hortifruti,3.1,1,Friday,156
2023-01-06,Coca-Cola 2L,Bebidas,8.13,1,Friday,200
2023-01-06,Arroz 5kg,Mercearia,19.2,1,Friday,103
2023-01-06,Feijão Carioca,Mercearia,8.13,1,Friday,116
2023-01-06,Sabonete,Higiene,2.12,1,Friday,59
2023-01-06,Fralda Infantil,Infantil,41.6,1,Friday,103
2023-01-06,Queijo Mussarela,Laticínios,36.42,1,Friday,143
2023-01-06,Cerveja Lata,Bebidas,3.29,1,Friday,154
2023-01-06,Iogurte Natural,Laticínios,2.68,1,Friday,18
2023-01-06,Manteiga 200g,Laticínios,6.11,1,Friday,58
2023-01-06,Tomate,Hortifruti,4.3,1,Friday,184
2023-01-06,Alface,Hortifruti,2.09,1,Friday,188
2023-01-06,Cenoura,Hortifruti,3.01,1,Friday,65
2023-01-06,Detergente,Limpeza,2.2,1,Friday,167
2023-01-06,Desinfetante,Limpeza,4.8,1,Friday,116
2023-01-06,Shampoo,Higiene,10.66,1,Friday,136
2023-01-06,Creme Dental,Higiene,3.03,1,Friday,126
2023-01-06,Papel Higiênico,Higiene,10.55,1,Friday,96
2023-01-06,Óleo de Soja,Mercearia,7.26,1,Friday,106
2023-01-06,Macarrão Espaguete,Mercearia,4.16,1,Friday,136
2023-01-06,Molho de Tomate,Mercearia,3.19,1,Friday,65
2023-01-06,Café 500g,Mercearia,12.02,1,Friday,145
2023-01-06,Biscoito Recheado,Mercearia,2.74,1,Friday,108
2023-01-06,"Água Mineral 1,5L",Bebidas,2.14,1,Friday,110
2023-01-06,Suco de Laranja,Bebidas,5.34,1,Friday,50
2023-01-06,Vinho Tinto,Bebidas,29.52,1,Friday,68
2023-01-06,Frango Congelado,Carnes,15.05,1,Friday,79
2023-01-06,Carne Moída,Carnes,24.38,1,Friday,152
2023-01-07,Leite Integral,Laticínios,4.55,1,Saturday,162
2023-01-07,Pão Francês,Padaria,0.53,1,Saturday,129
2023-01-07,Banana Nanica,Hortifruti,3.03,1,Saturday,88
2023-01-07,Coca-Cola 2L,Bebidas,8.11,1,Saturday,202
2023-01-07,Arroz 5kg,Mercearia,21.33,1,Saturday,150
2023-01-07,Feijão Carioca,Mercearia,8.05,1,Saturday,139
2023-01-07,Sabonete,Higiene,2.1,1,Saturday,224
2023-01-07,Fralda Infantil,Infantil,42.61,1,Saturday,56
2023-01-07,Queijo Mussarela,Laticínios,36.7,1,Saturday,69
2023-01-07,Cerveja Lata,Bebidas,3.01,1,Saturday,116
2023-01-07,Iogurte Natural,Laticínios,2.44,1,Saturday,102
2023-01-07,Manteiga 200g,Laticínios,5.76,1,Saturday,67
2023-01-07,Tomate,Hortifruti,3.85,1,Saturday,216
2023-01-07,Alface,Hortifruti,2.05,1,Saturday,129
2023-01-07,Cenoura,Hortifruti,2.96,1,Saturday,161
2023-01-07,Detergente,Limpeza,2.1,1,Saturday,113
2023-01-07,Desinfetante,Limpeza,4.92,1,Saturday,153
2023-01-07,Shampoo,Higiene,10.7,1,Saturday,160
2023-01-07,Creme Dental,Higiene,3.12,1,Saturday,171
2023-01-07,Papel Higiênico,Higiene,10.68,1,Saturday,94
2023-01-07,Óleo de Soja,Mercearia,7.59,1,Saturday,183
2023-01-07,Macarrão Espaguete,Mercearia,4.39,1,Saturday,141
2023-01-07,Molho de Tomate,Mercearia,3.04,1,Saturday,66
2023-01-07,Café 500g,Mercearia,12.58,1,Saturday,42
2023-01-07,Biscoito Recheado,Mercearia,2.63,1,Saturday,167
2023-01-07,"Água Mineral 1,5L",Bebidas,2.19,1,Saturday,175
2023-01-07,Suco de Laranja,Bebidas,4.76,1,Saturday,59
2023-01-07,Vinho Tinto,Bebidas,28.75,1,Saturday,190
2023-01-07,Frango Congelado,Carnes,15.45,1,Saturday,154
2023-01-07,Carne Moída,Carnes,25.69,1,Saturday,185
2023-01-08,Leite Integral,Laticínios,4.53,1,Sunday,155
2023-01-08,Pão Francês,Padaria,0.52,1,Sunday,53
2023-01-08,Banana Nanica,Hortifruti,3.12,1,Sunday,152
2023-01-08,Coca-Cola 2L,Bebidas,7.25,1,Sunday,113
2023-01-08,Arroz 5kg,Mercearia,21.28,1,Sunday,179
2023-01-08,Feijão Carioca,Mercearia,8.77,1,Sunday,92
2023-01-08,Sabonete,Higiene,1.93,1,Sunday,134
2023-01-08,Fralda Infantil,Infantil,40.79,1,Sunday,178
2023-01-08,Queijo Mussarela,Laticínios,37.57,1,Sunday,140
2023-01-08,Cerveja Lata,Bebidas,3.07,1,Sunday,185
2023-01-08,Iogurte Natural,Laticínios,2.52,1,Sunday,35
2023-01-08,Manteiga 200g,Laticínios,6.12,1,Sunday,72
2023-01-08,Tomate,Hortifruti,3.9,1,Sunday,130
2023-01-08,Alface,Hortifruti,2.14,1,Sunday,168
2023-01-08,Cenoura,Hortifruti,3.17,1,Sunday,190
2023-01-08,Detergente,Limpeza,2.28,1,Sunday,73
2023-01-08,Desinfetante,Limpeza,4.75,1,Sunday,190
2023-01-08,Shampoo,Higiene,10.63,1,Sunday,39
2023-01-08,Creme Dental,Higiene,2.89,1,Sunday,135
2023-01-08,Papel Higiênico,Higiene,10.47,1,Sunday,29
2023-01-08,Óleo de Soja,Mercearia,7.65,1,Sunday,65
2023-01-08,Macarrão Espaguete,Mercearia,4.1,1,Sunday,74
2023-01-08,Molho de Tomate,Mercearia,3.04,1,Sunday,42
2023-01-08,Café 500g,Mercearia,11.67,1,Sunday,40
2023-01-08,Biscoito Recheado,Mercearia,2.42,1,Sunday,140
2023-01-08,"Água Mineral 1,5L",Bebidas,2.06,1,Sunday,261
2023-01-08,Suco de Laranja,Bebidas,5.24,1,Sunday,221
2023-01-08,Vinho Tinto,Bebidas,32.0,1,Sunday,68
2023-01-08,Frango Congelado,Carnes,16.1,1,Sunday,240
2023-01-08,Carne Moída,Carnes,24.87,1,Sunday,60
2023-01-09,Leite Integral,Laticínios,4.89,1,Monday,83
2023-01-09,Pão Francês,Padaria,0.5,1,Monday,98
2023-01-09,Banana Nanica,Hortifruti,2.91,1,Monday,30
2023-01-09,Coca-Cola 2L,Bebidas,8.24,1,Monday,119
2023-01-09,Arroz 5kg,Mercearia,19.54,1,Monday,133
2023-01-09,Feijão Carioca,Mercearia,7.85,1,Monday,105
2023-01-09,Sabonete,Higiene,1.94,1,Monday,91
2023-01-09,Fralda Infantil,Infantil,43.91,1,Monday,64
2023-01-09,Queijo Mussarela,Laticínios,33.67,1,Monday,16
2023-01-09,Cerveja Lata,Bebidas,3.2,1,Monday,130
2023-01-09,Iogurte Natural,Laticínios,2.74,1,Monday,77
2023-01-09,Manteiga 200g,Laticínios,5.9,1,Monday,125
2023-01-09,Tomate,Hortifruti,4.29,1,Monday,167
2023-01-09,Alface,Hortifruti,2.12,1,Monday,75
2023-01-09,Cenoura,Hortifruti,3.03,1,Monday,114
2023-01-09,Detergente,Limpeza,2.39,1,Monday,72
2023-01-09,Desinfetante,Limpeza,4.38,1,Monday,26
2023-01-09,Shampoo,Higiene,9.96,1,Monday,72
2023-01-09,Creme Dental,Higiene,3.1,1,Monday,68
2023-01-09,Papel Higiênico,Higiene,10.54,1,Monday,31
2023-01-09,Óleo de Soja,Mercearia,7.46,1,Monday,27
2023-01-09,Macarrão Espaguete,Mercearia,3.92,1,Monday,105
2023-01-09,Molho de Tomate,Mercearia,3.22,1,Monday,83
2023-01-09,Café 500g,Mercearia,13.01,1,Monday,87
2023-01-09,Biscoito Recheado,Mercearia,2.58,1,Monday,88
2023-01-09,"Água Mineral 1,5L",Bebidas,1.97,1,Monday,178
2023-01-09,Suco de Laranja,Bebidas,4.79,1,Monday,113
2023-01-09,Vinho Tinto,Bebidas,32.41,1,Monday,153
2023-01-09,Frango Congelado,Carnes,15.97,1,Monday,54
2023-01-09,Carne Moída,Carnes,25.74,1,Monday,66
2023-01-10,Leite Integral,Laticínios,4.31,1,Tuesday,126
2023-01-10,Pão Francês,Padaria,0.5,1,Tuesday,33
2023-01-10,Banana Nanica,Hortifruti,2.99,1,Tuesday,51
2023-01-10,Coca-Cola 2L,Bebidas,7.46,1,Tuesday,205
2023-01-10,Arroz 5kg,Mercearia,21.88,1,Tuesday,95
2023-01-10,Feijão Carioca,Mercearia,8.46,1,Tuesday,23
2023-01-10,Sabonete,Higiene,2.04,1,Tuesday,21
2023-01-10,Fralda Infantil,Infantil,38.19,1,Tuesday,36
2023-01-10,Queijo Mussarela,Laticínios,38.3,1,Tuesday,26
2023-01-10,Cerveja Lata,Bebidas,3.13,1,Tuesday,32
2023-01-10,Iogurte Natural,Laticínios,2.7,1,Tuesday,76
2023-01-10,Manteiga 200g,Laticínios,6.56,1,Tuesday,73
2023-01-10,Tomate,Hortifruti,4.38,1,Tuesday,80
2023-01-10,Alface,Hortifruti,1.93,1,Tuesday,117
2023-01-10,Cenoura,Hortifruti,3.28,1,Tuesday,58
2023-01-10,Detergente,Limpeza,2.34,1,Tuesday,57
2023-01-10,Desinfetante,Limpeza,4.63,1,Tuesday,18
2023-01-10,Shampoo,Higiene,10.97,1,Tuesday,94
2023-01-10,Creme Dental,Higiene,2.95,1,Tuesday,81
2023-01-10,Papel Higiênico,Higiene,10.17,1,Tuesday,60
2023-01-10,Óleo de Soja,Mercearia,7.67,1,Tuesday,105
2023-01-10,Macarrão Espaguete,Mercearia,4.22,1,Tuesday,122
2023-01-10,Molho de Tomate,Mercearia,3.21,1,Tuesday,57
2023-01-10,Café 500g,Mercearia,11.96,1,Tuesday,89
2023-01-10,Biscoito Recheado,Mercearia,2.71,1,Tuesday,29
2023-01-10,"Água Mineral 1,5L",Bebidas,2.11,1,Tuesday,159
2023-01-10,Suco de Laranja,Bebidas,5.19,1,Tuesday,165
2023-01-10,Vinho Tinto,Bebidas,29.36,1,Tuesday,62
2023-01-10,Frango Congelado,Carnes,14.95,1,Tuesday,51
2023-01-10,Carne Moída,Carnes,25.62,1,Tuesday,122
2023-01-11,Leite Integral,Laticínios,4.39,1,Wednesday,35
2023-01-11,Pão Francês,Padaria,0.48,1,Wednesday,83
2023-01-11,Banana Nanica,Hortifruti,2.91,1,Wednesday,125
2023-01-11,Coca-Cola 2L,Bebidas,8.13,1,Wednesday,242
2023-01-11,Arroz 5kg,Mercearia,19.24,1,Wednesday,126
2023-01-11,Feijão Carioca,Mercearia,8.2,1,Wednesday,41
2023-01-11,Sabonete,Higiene,1.99,1,Wednesday,129
2023-01-11,Fralda Infantil,Infantil,42.02,1,Wednesday,129
2023-01-11,Queijo Mussarela,Laticínios,36.85,1,Wednesday,147
2023-01-11,Cerveja Lata,Bebidas,2.86,1,Wednesday,221
2023-01-11,Iogurte Natural,Laticínios,2.49,1,Wednesday,60
2023-01-11,Manteiga 200g,Laticínios,6.35,1,Wednesday,35
2023-01-11,Tomate,Hortifruti,4.22,1,Wednesday,168
2023-01-11,Alface,Hortifruti,2.18,1,Wednesday,33
2023-01-11,Cenoura,Hortifruti,3.04,1,Wednesday,23
2023-01-11,Detergente,Limpeza,2.19,1,Wednesday,98
2023-01-11,Desinfetante,Limpeza,4.46,1,Wednesday,157
2023-01-11,Shampoo,Higiene,10.94,1,Wednesday,25
2023-01-11,Creme Dental,Higiene,2.95,1,Wednesday,81
2023-01-11,Papel Higiênico,Higiene,10.89,1,Wednesday,47
2023-01-11,Óleo de Soja,Mercearia,7.22,1,Wednesday,96
2023-01-11,Macarrão Espaguete,Mercearia,3.91,1,Wednesday,25
2023-01-11,Molho de Tomate,Mercearia,3.19,1,Wednesday,137
2023-01-11,Café 500g,Mercearia,11.64,1,Wednesday,78
2023-01-11,Biscoito Recheado,Mercearia,2.7,1,Wednesday,95
2023-01-11,"Água Mineral 1,5L",Bebidas,2.11,1,Wednesday,149
2023-01-11,Suco de Laranja,Bebidas,5.12,1,Wednesday,120
2023-01-11,Vinho Tinto,Bebidas,31.47,1,Wednesday,145
2023-01-11,Frango Congelado,Carnes,16.37,1,Wednesday,59
2023-01-11,Carne Moída,Carnes,25.48,1,Wednesday,44
2023-01-12,Leite Integral,Laticínios,4.33,1,Thursday,80
2023-01-12,Pão Francês,Padaria,0.51,1,Thursday,37
2023-01-12,Banana Nanica,Hortifruti,3.2,1,Thursday,47
2023-01-12,Coca-Cola 2L,Bebidas,7.85,1,Thursday,189
2023-01-12,Arroz 5kg,Mercearia,21.56,1,Thursday,77
2023-01-12,Feijão Carioca,Mercearia,8.18,1,Thursday,100
2023-01-12,Sabonete,Higiene,2.16,1,Thursday,126
2023-01-12,Fralda Infantil,Infantil,38.31,1,Thursday,86
2023-01-12,Queijo Mussarela,Laticínios,37.6,1,Thursday,162
2023-01-12,Cerveja Lata,Bebidas,3.27,1,Thursday,149
2023-01-12,Iogurte Natural,Laticínios,2.39,1,Thursday,104
2023-01-12,Manteiga 200g,Laticínios,5.76,1,Thursday,59
2023-01-12,Tomate,Hortifruti,4.06,1,Thursday,66
2023-01-12,Alface,Hortifruti,2.01,1,Thursday,158
2023-01-12,Cenoura,Hortifruti,3.27,1,Thursday,48
2023-01-12,Detergente,Limpeza,2.23,1,Thursday,88
2023-01-12,Desinfetante,Limpeza,4.52,1,Thursday,66
2023-01-12,Shampoo,Higiene,10.62,1,Thursday,66
2023-01-12,Creme Dental,Higiene,2.87,1,Thursday,30
2023-01-12,Papel Higiênico,Higiene,9.76,1,Thursday,135
2023-01-12,Óleo de Soja,Mercearia,6.92,1,Thursday,111
2023-01-12,Macarrão Espaguete,Mercearia,4.38,1,Thursday,128
2023-01-12,Molho de Tomate,Mercearia,2.91,1,Thursday,80
2023-01-12,Café 500g,Mercearia,12.65,1,Thursday,110
2023-01-12,Biscoito Recheado,Mercearia,2.69,1,Thursday,22
2023-01-12,"Água Mineral 1,5L",Bebidas,2.06,1,Thursday,231
2023-01-12,Suco de Laranja,Bebidas,4.85,1,Thursday,204
2023-01-12,Vinho Tinto,Bebidas,31.36,1,Thursday,156
2023-01-12,Frango Congelado,Carnes,15.55,1,Thursday,123
2023-01-12,Carne Moída,Carnes,26.69,1,Thursday,163
2023-01-13,Leite Integral,Laticínios,4.8,1,Friday,47
2023-01-13,Pão Francês,Padaria,0.54,1,Friday,95
2023-01-13,Banana Nanica,Hortifruti,2.93,1,Friday,53
2023-01-13,Coca-Cola 2L,Bebidas,8.19,1,Friday,270
2023-01-13,Arroz 5kg,Mercearia,20.99,1,Friday,140
2023-01-13,Feijão Carioca,Mercearia,8.47,1,Friday,31
2023-01-13,Sabonete,Higiene,2.01,1,Friday,42
2023-01-13,Fralda Infantil,Infantil,43.54,1,Friday,139
2023-01-13,Queijo Mussarela,Laticínios,37.07,1,Friday,130
2023-01-13,Cerveja Lata,Bebidas,3.28,1,Friday,166
2023-01-13,Iogurte Natural,Laticínios,2.72,1,Friday,60
2023-01-13,Manteiga 200g,Laticínios,6.42,1,Friday,91
2023-01-13,Tomate,Hortifruti,3.96,1,Friday,118
2023-01-13,Alface,Hortifruti,2.18,1,Friday,139
2023-01-13,Cenoura,Hortifruti,3.11,1,Friday,26
2023-01-13,Detergente,Limpeza,2.11,1,Friday,134
2023-01-13,Desinfetante,Limpeza,4.67,1,Friday,58
2023-01-13,Shampoo,Higiene,10.08,1,Friday,62
2023-01-13,Creme Dental,Higiene,3.13,1,Friday,205
2023-01-13,Papel Higiênico,Higiene,9.64,1,Friday,132
2023-01-13,Óleo de Soja,Mercearia,7.25,1,Friday,149
2023-01-13,Macarrão Espaguete,Mercearia,4.01,1,Friday,109
2023-01-13,Molho de Tomate,Mercearia,2.91,1,Friday,76
2023-01-13,Café 500g,Mercearia,12.87,1,Friday,50
2023-01-13,Biscoito Recheado,Mercearia,2.74,1,Friday,61
2023-01-13,"Água Mineral 1,5L",Bebidas,1.94,1,Friday,202
2023-01-13,Suco de Laranja,Bebidas,5.19,1,Friday,151
2023-01-13,Vinho Tinto,Bebidas,29.18,1,Friday,210
2023-01-13,Frango Congelado,Carnes,16.33,1,Friday,158
2023-01-13,Carne Moída,Carnes,27.12,1,Friday,36
2023-01-14,Leite Integral,Laticínios,4.31,1,Saturday,186
2023-01-14,Pão Francês,Padaria,0.49,1,Saturday,238
2023-01-14,Banana Nanica,Hortifruti,2.93,1,Saturday,221
2023-01-14,Coca-Cola 2L,Bebidas,8.25,1,Saturday,83
2023-01-14,Arroz 5kg,Mercearia,19.14,1,Saturday,60
2023-01-14,Feijão Carioca,Mercearia,8.76,1,Saturday,46
2023-01-14,Sabonete,Higiene,2.18,1,Saturday,85
2023-01-14,Fralda Infantil,Infantil,42.89,1,Saturday,162
2023-01-14,Queijo Mussarela,Laticínios,35.49,1,Saturday,84
2023-01-14,Cerveja Lata,Bebidas,3.21,1,Saturday,185
2023-01-14,Iogurte Natural,Laticínios,2.49,1,Saturday,197
2023-01-14,Manteiga 200g,Laticínios,5.73,1,Saturday,92
2023-01-14,Tomate,Hortifruti,4.16,1,Saturday,25
2023-01-14,Alface,Hortifruti,2.05,1,Saturday,146
2023-01-14,Cenoura,Hortifruti,3.1,1,Saturday,178
2023-01-14,Detergente,Limpeza,2.39,1,Saturday,196
2023-01-14,Desinfetante,Limpeza,4.78,1,Saturday,169
2023-01-14,Shampoo,Higiene,10.39,1,Saturday,64
2023-01-14,Creme Dental,Higiene,3.23,1,Saturday,118
2023-01-14,Papel Higiênico,Higiene,10.88,1,Saturday,148
