data_previsao,produto,categoria,mes,dia_semana,preco_unitario,previsao,real,erro_absoluto
2024-01-06,Macarrão Espaguete,Mercearia,1,Saturday,4.100738714090287,120,98,22
2024-01-06,Molho de Tomate,Mercearia,1,Saturday,3.0834746922024623,122,181,59
2024-01-06,Café 500g,Mercearia,1,Saturday,12.283844049247605,116,29,87
2024-01-06,Biscoito Recheado,Mercearia,1,Saturday,2.5671956224350208,121,160,39
2024-01-06,"Água Mineral 1,5L",Bebidas,1,Saturday,2.052749658002736,164,213,49
2024-01-06,Suco de Laranja,Bebidas,1,Saturday,5.122229822161422,159,146,13
2024-01-06,Vinho Tinto,Bebidas,1,Saturday,30.782257181942548,154,273,119
2024-01-06,Frango Congelado,Carnes,1,Saturday,15.320341997264022,119,179,60
2024-01-06,Carne Moída,Carnes,1,Saturday,25.645061559507525,121,125,4
2024-01-07,Leite Integral,Laticínios,1,Sunday,4.616060191518468,117,179,62
2024-01-07,Pão Francês,Padaria,1,Sunday,0.5138030095759234,125,42,83
2024-01-07,Banana Nanica,Hortifruti,1,Sunday,3.0786730506155955,118,174,56
2024-01-07,Coca-Cola 2L,Bebidas,1,Sunday,7.693625170998632,152,87,65
2024-01-07,Arroz 5kg,Mercearia,1,Sunday,20.500136798905608,113,72,41
2024-01-07,Feijão Carioca,Mercearia,1,Sunday,8.188878248974008,111,43,68
2024-01-07,Sabonete,Higiene,1,Sunday,2.047578659370725,117,51,66
2024-01-07,Fralda Infantil,Infantil,1,Sunday,40.95129958960329,112,144,32
2024-01-07,Queijo Mussarela,Laticínios,1,Sunday,35.84072503419973,116,104,12
2024-01-07,Cerveja Lata,Bebidas,1,Sunday,3.0871819425444595,153,103,50
2024-01-07,Iogurte Natural,Laticínios,1,Sunday,2.5645964432284543,117,187,70
2024-01-07,Manteiga 200g,Laticínios,1,Sunday,6.147783857729138,116,83,33
2024-01-07,Tomate,Hortifruti,1,Sunday,4.097578659370725,117,233,116
2024-01-07,Alface,Hortifruti,1,Sunday,2.052421340629275,120,38,82
2024-01-07,Cenoura,Hortifruti,1,Sunday,3.0742954856361147,119,68,51
2024-01-07,Detergente,Limpeza,1,Sunday,2.257250341997264,112,209,97
2024-01-07,Desinfetante,Limpeza,1,Sunday,4.617647058823529,113,82,31
2024-01-07,Shampoo,Higiene,1,Sunday,10.263761969904241,115,56,59
2024-01-07,Creme Dental,Higiene,1,Sunday,3.0739124487004106,116,144,28
2024-01-07,Papel Higiênico,Higiene,1,Sunday,10.269302325581394,115,17,98
2024-01-07,Óleo de Soja,Mercearia,1,Sunday,7.185417236662107,115,144,29
2024-01-07,Macarrão Espaguete,Mercearia,1,Sunday,4.100738714090287,112,131,19
2024-01-07,Molho de Tomate,Mercearia,1,Sunday,3.0834746922024623,114,90,24
2024-01-07,Café 500g,Mercearia,1,Sunday,12.283844049247605,111,58,53
2024-01-07,Biscoito Recheado,Mercearia,1,Sunday,2.5671956224350208,113,73,40
2024-01-07,"Água Mineral 1,5L",Bebidas,1,Sunday,2.052749658002736,156,151,5
2024-01-07,Suco de Laranja,Bebidas,1,Sunday,5.122229822161422,151,216,65
2024-01-07,Vinho Tinto,Bebidas,1,Sunday,30.782257181942548,150,263,113
2024-01-07,Frango Congelado,Carnes,1,Sunday,15.320341997264022,114,116,2
2024-01-07,Carne Moída,Carnes,1,Sunday,25.645061559507525,117,90,27
